run_id,t,phi_mean,phi_var,phi_ar1,phi_trend,phi_skew,pi_mean,pi_var,time_to_collapse,near_transition
0,2.909999999999982,0.5559999999999999,0.10611733333333334,0.995730428673391,0.036342602892102345,-0.5315102113974999,0.054220288276077167,0.0009948257910056548,0.6999999999999851,1
0,3.00999999999998,0.5873333333333334,0.09974622222222222,0.9958514060371301,0.03498553948832036,-0.6431001401814962,0.05744418071205133,0.0009358623178243799,0.5999999999999872,1
0,3.1099999999999777,0.6186666666666667,0.09141155555555551,0.9961528436812791,0.03321023359288098,-0.7485735159382292,0.060608227065804446,0.0008732574603927908,0.49999999999998934,1
0,3.2099999999999755,0.6500000000000001,0.0811133333333333,0.9962327225755221,0.0310166852057842,-0.8342944856272584,0.06371409917719496,0.0008071552592389877,0.3999999999999915,1
0,3.3099999999999734,0.6806666666666669,0.06974622222222222,0.9963171885472535,0.028542825361512793,-0.8918004292916024,0.0667453947034293,0.0007397970472481707,0.2999999999999936,1
0,3.4099999999999717,0.7073333333333335,0.061532888888888894,0.9971141478847892,0.026487208008898776,-1.0135189577836607,0.06966971549105318,0.0006752573222544402,0.1999999999999953,1
0,3.509999999999969,0.7340000000000002,0.051897333333333344,0.9970605048755682,0.024075639599555058,-1.1003682408723272,0.07254102059356836,0.0006079512370769295,0.09999999999999787,1
1,2.909999999999982,0.42533333333333334,0.0905048888888889,0.9957317343411735,0.03407341490545051,-0.1874932347784341,0.03422444845157925,0.0005294517098430025,2.599999999999945,1
1,3.00999999999998,0.45200000000000007,0.08844266666666667,0.9957365831630005,0.03355728587319244,-0.3052841338751797,0.03700107472019223,0.0005076873092509757,2.499999999999947,1
1,3.1099999999999777,0.47933333333333344,0.08539955555555555,0.9958524687154924,0.03281423804226919,-0.41814626295169455,0.039673058306311855,0.0004826341341711583,2.3999999999999493,1
1,3.2099999999999755,0.5066666666666667,0.08086222222222224,0.995935813421996,0.031706340378198,-0.5299796136206731,0.042293103037239724,0.0004581270366284343,2.2999999999999514,1
1,3.3099999999999734,0.5340000000000001,0.07483066666666667,0.9957310853575284,0.03023359288097887,-0.6362712409119481,0.04486274835259612,0.0004340905510371013,2.1999999999999535,1
1,3.4099999999999717,0.5613333333333334,0.06839822222222222,0.9953369574645322,0.028662958843159066,-0.7367878114664607,0.04742669079651109,0.0004201709377384271,2.0999999999999552,1
1,3.509999999999969,0.5873333333333334,0.06193288888888889,0.9948303886392861,0.027003337041156844,-0.8501265279637247,0.04987780280424557,0.0004114519820404441,1.9999999999999578,1
1,3.609999999999967,0.6126666666666666,0.05585288888888889,0.9951941338220769,0.025401557285873195,-0.9708964831657485,0.0522123788496431,0.0004013534851074961,1.89999999999996,1
1,3.709999999999965,0.6386666666666667,0.048798222222222215,0.9945932194490114,0.02359065628476084,-1.0613996161984707,0.054671120728380894,0.00040270433118218447,1.799999999999962,1
1,3.8099999999999623,0.6633333333333333,0.04184222222222222,0.9939010327927796,0.021708565072302552,-1.1533276881355983,0.05712902088861251,0.00040009300981908805,1.6999999999999647,1
