run_id,topology,seed,n_firms,n_banks,epsilon_D,r_L,delta,final_phi,max_phi,T_final
000,erdos_renyi,100,50,5,0.13151074126864482,0.04113477540375185,0.01849035181498266,0.96,0.96,3.609999999999967
001,barabasi_albert,101,50,5,0.12745979415536696,0.052826703474725595,0.010569484529561938,0.98,0.98,5.509999999999927
002,watts_strogatz,102,50,5,0.1396522377404095,0.057039476174891364,0.015985634820194036,0.96,0.96,4.209999999999955
003,erdos_renyi,103,50,5,0.1148166808401354,0.03696861052795322,0.01341887370555004,0.96,0.96,4.209999999999955
004,barabasi_albert,104,50,5,0.07218809365221271,0.039131934279998656,0.026149867241007527,0.96,0.96,4.609999999999946
