t,phi,mean_pi,var_pi,skew_pi,total_K,avg_D,n_defaulted,P,run_id
0.01,0.0,-0.009955849234933369,0.0011720702215711706,-0.18256497855033688,1061.7993117629064,9.42066005475476,0,1.0002495136547753,001
0.10999999999999999,0.0,-0.006430810216490501,0.0011489728436424157,-0.18803159153110907,1063.7305192830788,8.837861094008328,0,1.0026674756641691,001
0.21000000000000005,0.0,-0.0029944374568938513,0.0011267286063880496,-0.19349087597735282,1065.6925807546108,8.258252432030524,0,1.004946858268301,001
0.3100000000000001,0.0,0.0003562414286367411,0.0011053021893952855,-0.19893975825573643,1067.6852175357842,7.681757967279134,0,1.0070901172479667,001
0.4100000000000002,0.02,0.004971088810918868,0.0010149331830223108,-0.17138214855075715,1037.8479834079947,7.265679403253921,1,1.0090752631427478,001
0.5100000000000002,0.06,0.01010699522975787,0.0009413200973649924,-0.2460493255549587,973.8017288400531,7.017906464671576,3,1.0108596123025666,001
0.6100000000000003,0.1,0.013863638411307857,0.000901995753174073,-0.24565772431210214,937.1888687063932,6.769956565958792,5,1.012494983071747,001
0.7100000000000004,0.1,0.01683532430983701,0.0008844101873982543,-0.24946318160461714,939.0701439737433,6.22329811279156,5,1.013985480280009,001
0.8100000000000005,0.14,0.018500358593219093,0.0008693143347017335,-0.181631482038414,897.3347973488337,5.95402717164553,7,1.0153793370022677,001
0.9100000000000006,0.18,0.023067175106219452,0.0008307974899016484,-0.29529487974970353,857.1484474306793,5.679574893715211,9,1.0166471412162317,001
1.0100000000000007,0.18,0.025824012842389298,0.0008147171144328893,-0.2988730463243093,858.9307762321331,5.135474346895201,9,1.0177561143451046,001
1.1100000000000008,0.26,0.029401469572418234,0.0008140469077393432,-0.40107121822656927,784.1709544337054,5.12727214513736,13,1.0187148636040946,001
1.2100000000000009,0.36,0.030151971533869264,0.0007331359530216014,-0.4483477951831939,667.2256424695305,5.353301477512594,18,1.0195845781983,001
1.310000000000001,0.42,0.03523201840382374,0.0005992032076840323,-0.3374639959472629,586.0646384079148,5.350307777876479,21,1.0203856636350874,001
1.410000000000001,0.46,0.03696125535552782,0.0006040285639825634,-0.3034549837475892,532.1712194054724,5.219451092796681,23,1.0210696666024426,001
1.5100000000000011,0.54,0.038608472097131134,0.0006452100274666712,-0.27345342271801,437.35045899815367,5.5609014504917775,27,1.0216635638996479,001
1.6100000000000012,0.56,0.03985862020335174,0.0006314271781040037,-0.1968597656379735,411.7978649607798,5.287405269032865,28,1.0222223293595354,001
