t,phi,mean_pi,var_pi,skew_pi,total_K,avg_D,n_defaulted,P,run_id
0.01,0.0,-0.00803820228820806,0.00129594622520808,-0.104611663398501,1067.4579300617565,8.282243049585523,0,1.0002307185490273,002
0.10999999999999999,0.0,-0.004603177849687343,0.0012740836015621606,-0.11097019152381266,1068.8071092271034,7.701659432411425,0,1.0024629134914,002
0.21000000000000005,0.0,-0.0012529679577528469,0.0012530190476002093,-0.11737055227216839,1070.1845867633676,7.124584698953306,0,1.0045604539292938,002
0.3100000000000001,0.0,0.002015207181246838,0.0012327206811025661,-0.12380613302355992,1071.5900509050073,6.55093802378238,0,1.0065257306994515,002
0.4100000000000002,0.02,0.004622274519362578,0.001220923629737237,-0.09155645031047285,1040.129542460925,6.112193300604993,1,1.0083732076168979,002
0.5100000000000002,0.04,0.007898523602641374,0.0012263691864717488,-0.11041184218602428,1022.5175444363906,5.665948008942728,2,1.0101019284963821,002
0.6100000000000003,0.14,0.010498569051437015,0.0011258296922472223,0.12329408674424237,837.4845614050682,5.73022317767409,7,1.011690942823214,002
0.7100000000000004,0.16,0.013165691477795166,0.0011309225647449124,0.14751562962567286,808.1958966682174,5.330215804903936,8,1.0132054069826864,002
0.8100000000000005,0.2,0.017506560747004234,0.0011239476156456507,0.057388463373576795,736.3021155947245,5.0687962131742506,10,1.014604420977523,002
0.9100000000000006,0.3,0.025105540563148565,0.000984069831437798,0.009062501652254137,628.6370594957912,5.25539915802429,15,1.0157693723914123,002
1.0100000000000007,0.34,0.029024241118834015,0.0009776717641156016,-0.05490778400644015,594.0226829445456,5.046112080938833,17,1.0167777916536096,002
1.1100000000000008,0.36,0.0326954637618704,0.0009530558182616284,-0.12509224643993683,575.75648391526,4.699120039908825,18,1.017600925386503,002
1.2100000000000009,0.38,0.03673366355295753,0.0008930906145938605,-0.1683845761411013,556.32813753989,4.34112508496462,19,1.018289210162613,002
1.310000000000001,0.44,0.04115925459613712,0.0008913530291933396,-0.29229231642415315,483.9973326543511,4.2747024819668225,22,1.0188195245408247,002
1.410000000000001,0.48,0.046077803274070975,0.00080712948167744,-0.3209055017953469,432.9177677145822,4.1247163587042355,24,1.019141539549095,002
1.5100000000000011,0.6,0.05121637223662604,0.0006746562060877942,-0.35070039489305876,333.73691183714203,4.821458173666963,30,1.0192755973261378,002
1.6100000000000012,0.64,0.05332331570027153,0.0007054921185769404,-0.36173175100101973,291.4914133064079,4.864026511424068,32,1.0192763473291067,002
1.7100000000000013,0.66,0.05534193878982567,0.0007332687545083764,-0.35131899487284746,263.1279002081341,4.721441158456856,33,1.0191335684417178,002
1.8100000000000014,0.68,0.05748866396980398,0.0007650005679326955,-0.3622072609704707,247.58771917066815,4.5806205221563125,34,1.0188889314678216,002
1.9100000000000015,0.68,0.059516136229720434,0.0007513632317203512,-0.3710320758579095,248.0298620672834,4.1635892095066644,34,1.0186054080902325,002
2.010000000000001,0.68,0.06149955926597524,0.0007381133685101027,-0.37975302924847687,248.47694773072092,3.74787882529013,34,1.0182317375077836,002
2.109999999999999,0.7,0.06161763462289951,0.0007206829268425829,-0.27351237692185076,238.83984796786848,3.5556621387223992,35,1.0177966230537543,002
2.209999999999997,0.7,0.06352064066845818,0.0007085150828563751,-0.2883768142535878,239.27563769604308,3.113778464432651,35,1.017336628036168,002
2.3099999999999947,0.74,0.06697458238081258,0.0007812988250087196,-0.4804801900767415,194.74322893194437,3.1309527994141955,37,1.0167739238012425,002
2.4099999999999926,0.74,0.06877061043755352,0.0007684696571725523,-0.4952175040586666,195.10811370371636,2.7112857421163072,37,1.0161108468967057,002
2.5099999999999905,0.8,0.07829166324661578,0.0005192629453259524,-0.09102880896054832,138.21821795939013,3.056494169606568,40,1.0152626972021375,002
2.6099999999999883,0.82,0.08309432293098759,0.00046265405518283097,-0.3535002181707159,117.49799568458154,2.969439463378239,41,1.0142006216612676,002
2.709999999999986,0.82,0.08458211533038346,0.00045216620845248416,-0.3648171578714478,117.73566987790426,2.570126843479932,41,1.0129974867104017,002
2.809999999999984,0.86,0.0810127584521331,0.0004496891640561484,0.19033637915863552,81.50483777511714,2.8416065687053305,43,1.0117799647287185,002
2.909999999999982,0.9,0.08688654481451423,0.0003777534436987799,0.589481420959225,50.63648234282764,3.5642620924636277,45,1.0104974852569641,002
3.00999999999998,0.94,0.08740130303758324,0.00036391010936484715,1.6245121123164088,28.259481458720423,5.497950827548107,47,1.009310971922526,002
3.1099999999999777,0.94,0.0887867800635695,0.0003524231541567849,1.6243446331029634,28.317604249126628,5.123613653289406,47,1.0080958634561583,002
3.2099999999999755,0.94,0.09013684775386466,0.00034131760929958583,1.6242349875602953,28.376154110900025,4.749639796557855,47,1.006807972387113,002
3.3099999999999734,0.94,0.09145226527677808,0.00033058006329406706,1.6241861130129682,28.43512459263406,4.376020124836783,47,1.0054488452386756,002
3.4099999999999713,0.94,0.09273376657913562,0.00032019759863439887,1.6242009457292101,28.494509385365877,4.0027458810330385,47,1.0040200051630213,002
3.509999999999969,0.94,0.09398206136344889,0.0003101577731783461,1.6242824147087034,28.554302319176557,3.6298086634471836,47,1.0025229522503316,002
3.609999999999967,0.94,0.0951978360180394,0.000300448602242096,1.6244334349192693,28.61449735973887,3.2572004066601905,47,1.0009591638341415,002
3.709999999999965,0.94,0.09638175450277102,0.00029105854138980746,1.6246568999479818,28.675088604827252,2.884913363298283,47,0.9993300947929583,002
3.8099999999999627,0.94,0.097534459192874,0.0002819764698895004,1.6249556740293218,28.736070280803048,2.5129400866391065,47,0.9976371778481973,002
3.9099999999999606,0.94,0.09865657168318147,0.0002731916748082157,1.6253325834099652,28.79743673908653,2.1412734140237943,47,0.9958818238584681,002
4.009999999999959,0.94,0.09974869355495554,0.00026469383572064675,1.6257904070071392,28.85918245262617,1.7699064510409688,47,0.9940654221102642,002
4.109999999999957,0.94,0.10081140710733755,0.0002564730100066135,1.6263318663135453,28.921302012374284,1.3988325564500208,47,0.992189340605084,002
4.209999999999955,0.96,0.10625688379003397,0.00031439467434760197,,19.063388052900038,1.5853895011905268,48,0.9902556948724972,002
